codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
116078,TUCTUMPAYA,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.101,0.101,0.385,S/D,174
116078,TUCTUMPAYA,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.011,0.011,0.067,S/D,202
116078,TUCTUMPAYA,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.021,0.021,0.22,S/D,229
116078,TUCTUMPAYA,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.035,0.035,0.186,S/D,116
116081,YURA,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.166,0.217,1.85,-0.156,186
116081,YURA,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.086,0.17,1.537,-0.027,139
116081,YURA,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.219,0.22,1.978,-0.015,162
116081,YURA,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.097,0.098,1.316,-0.008,183
116081,YURA,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,-0.181,0.202,1.849,0.054,93
116084,CAMANA,AREQUIPA,CAMANA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.012,0.012,0.016,S/D,4
116084,CAMANA,AREQUIPA,CAMANA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.031,0.031,0.044,S/D,2
116084,CAMANA,AREQUIPA,CAMANA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.001,0.001,0.003,S/D,4
116084,CAMANA,AREQUIPA,CAMANA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,4
116084,CAMANA,AREQUIPA,CAMANA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.0,0.0,0.0,S/D,2
472D23BE,OCOÑA,AREQUIPA,CAMANA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.253,0.348,0.771,0.261,228
